open_time,close,volume
2023-05-15,20.99,2858317.83
2023-05-16,20.67,2722401.44
2023-05-17,21.06,2614414.01
2023-05-18,20.34,2624370.52
2023-05-19,20.36,1214543.49
2023-05-20,20.28,856718.98
2023-05-21,19.61,1976334.78
2023-05-22,19.53,2054927.32
2023-05-23,20.02,2466255.33
2023-05-24,19.22,2780601.57
2023-05-25,19.25,1692742.89
2023-05-26,19.35,1034272.52
2023-05-27,20.43,1565995.03
2023-05-28,20.81,2874459.57
2023-05-29,20.57,2222352.38
2023-05-30,21.25,3192653.91
2023-05-31,20.81,2050625.96
2023-06-01,20.49,1732297.47
2023-06-02,21.26,2068166.11
2023-06-03,21.19,1130915.88
2023-06-04,21.82,2800007.16
2023-06-05,20.0,6215040.24
2023-06-06,20.38,4383534.14
2023-06-07,18.64,3842270.95
2023-06-08,18.89,2669714.01
2023-06-09,17.4,4755455.49
2023-06-10,15.61,17211734.83
2023-06-11,15.55,6064017.28
2023-06-12,15.19,5195357.99
2023-06-13,15.04,4814274.27
2023-06-14,14.48,3978891.53
2023-06-15,14.77,4700648.85
2023-06-16,15.31,2809890.09
2023-06-17,15.64,2500321.4
2023-06-18,15.45,1603688.44
2023-06-19,16.1,1890318.27
2023-06-20,16.64,3005581.72
2023-06-21,17.23,4146918.99
2023-06-22,16.62,3547312.43
2023-06-23,17.13,4851596.52
2023-06-24,16.64,2908701.89
2023-06-25,16.96,2723041.25
2023-06-26,16.27,3056592.4
2023-06-27,16.63,2951107.45
2023-06-28,15.97,4040252.29
2023-06-29,17.99,7948251.73
2023-06-30,18.86,11454016.49
2023-07-01,18.7,3515091.93
2023-07-02,19.45,4872775.08
2023-07-03,19.26,3065186.84
2023-07-04,19.13,3096292.18
2023-07-05,19.0,2415908.51
2023-07-06,19.61,9598016.99
2023-07-07,21.5,9794096.48
2023-07-08,21.81,6473021.26
2023-07-09,21.32,3867361.76
2023-07-10,21.3,5671089.94
2023-07-11,22.07,4616810.71
2023-07-12,21.94,6086113.95
2023-07-13,26.01,16102139.02
2023-07-14,26.67,19571913.81
2023-07-15,27.46,11042658.65
2023-07-16,27.42,6708916.61
2023-07-17,26.8,8662837.64
2023-07-18,25.54,6327315.88
2023-07-19,26.31,4966905.24
2023-07-20,25.38,4977278.58
2023-07-21,25.5,3295444.38
2023-07-22,24.52,2382898.21
2023-07-23,24.76,2341589.79
2023-07-24,23.37,4042066.22
2023-07-25,23.27,2522195.44
2023-07-26,25.17,6033716.58
2023-07-27,25.1,4207657.06
2023-07-28,24.82,2736684.18
2023-07-29,25.17,1768964.07
2023-07-30,24.25,2774658.63
2023-07-31,23.73,3167365.08
2023-08-01,24.05,3598080.21
2023-08-02,23.15,3308680.67
2023-08-03,22.65,2981853.02
2023-08-04,22.8,3225053.92
2023-08-05,22.65,1781301.39
2023-08-06,23.2,2662470.7
2023-08-07,23.12,3303008.9
2023-08-08,24.22,4652753.86
2023-08-09,24.38,3857674.95
2023-08-10,24.62,2556841.66
2023-08-11,24.62,2415119.74
2023-08-12,24.91,1814019.36
2023-08-13,24.23,2013530.94
2023-08-14,25.18,2935003.9
2023-08-15,23.9,3856498.57
2023-08-16,22.82,4333224.4
2023-08-17,21.66,6294552.09
2023-08-18,21.34,3890112.81
2023-08-19,21.9,1694233.32
2023-08-20,21.77,1053613.37
2023-08-21,21.2,2646392.48
2023-08-22,20.59,3635900.71
2023-08-23,21.74,3704350.5
2023-08-24,21.06,2719332.54
2023-08-25,20.42,2321828.3
2023-08-26,20.29,743690.27
2023-08-27,20.79,1103526.81
2023-08-28,20.56,1622343.78
